scalerS16b IPM2C21A IPM2C24A 
142144 69389 159.25 151.534
141242 32194 167.375 158.23
145380 756 165.061 158.815
137631 30948 170.742 161.393
137625 14507 159.432 151.975
141590 16324 160.316 150.014
146307 50258 167.063 158.415
147540 1362 169.533 161.342
150020 51589 170.963 162.584
152893 52339 174.018 165.624
157315 70273 176.852 168.87
152310 68542 182.299 173.029
145049 49820 178.763 169.814
137228 84131 173.173 165.326
140774 31934 160.199 152.766
151458 19184 161.902 153.547
150872 31235 173.628 165.059
151564 88801 172.302 163.848
151501 51935 179.582 171.016
143965 65843 175.591 166.836
143565 57453 170.521 162.471
143565 57453 163.696 156.885
145465 17119 167.765 159.873
150791 35381 167.375 159.514
147846 34323 173.875 164.197
148938 34748 172.029 162.923
148938 34748 177.138 169.126
144505 49596 166.829 159.021
151933 35657 171.73 165.162
148338 50831 174.005 165.552
147707 50831 172.419 164.084
149350 51126 172.237 163.991
156632 53652 176.397 169.845
155493 86013 180.336 171.673
142185 48899 177.281 168.017
142965 28620 162.968 154.902
138675 14800 168.103 158.733
146421 50259 162.76 154.101
144262 49565 170.053 162.235
148747 51002 167.557 158.98
157275 82486 173.745 165.029
155100 85799 182.104 173.553
158323 37798 179.452 170.626
158312 37798 183.989 175.442
154625 20182 183.56 174.724
158266 54225 179.621 171.16
152547 68701 183.833 175.032
152506 35901 178.048 169.599
155081 85759 177.489 169.342
154065 52733 180.076 171.755
163341 55878 181.766 172.351
165851 36185 189.163 180.197
160300 54911 189.826 180.957
165512 7444 189.228 179.499
165752 23986 192.673 184.295
163834 39688 188.409 179.437
168487 57520 193.83 185.343
168487 57520 190.372 180.793
160804 55035 189.449 181.029
158890 70881 186.901 176.726
161068 5965 187.239 178.184
165958 73160 189.618 180.423
162748 55635 194.311 185.168
158018 50153 186.355 176.439
170378 90981 196.066 184.706
168240 8382 196.066 186.164
166281 56955 195.065 187.469
169870 41728 195.065 187.469
172943 75376 198.705 189.297
176508 60307 202.54 193.23
171981 58919 202.54 193.23
173242 26476 203.112 190.262
172365 75314 199.082 190.057
168103 41055 199.082 190.057
165479 56665 193.232 184.069
170273 41864 193.232 183.997
168689 8622 198.939 189.461
169608 25250 198.939 183.556
166026 40335 197.327 189.132
163638 39630 197.327 184.008
156731 53719 193.128 184.008
161814 22686 188.682 179.694
163729 35590 182.637 173.337
162039 55512 188.955 179.479
162555 39351 190.099 180.998
162701 88441 188.656 179.612
156249 4541 187.772 179.407
166007 36474 191.126 182.128
166007 36474 182.455 182.693
165640 56719 192.179 182.693
168652 8455 191.412 183.063
167370 73591 195.39 186.092
176366 60198 192.686 183.361
170853 58377 205.959 195.921
165376 40297 200.252 190.56
162472 6560 189.072 182.292
164159 23427 189.072 180.516
160378 38607 189.696 180.957
163389 6726 188.149 178.236
164214 89052 190.645 180.639
165974 40434 188.942 179.376
160216 54878 193.973 184.788
162709 39314 185.926 177.414
161875 88147 189.8 180.957
165505 40267 187.59 179.222
