scalerS16b	IPM2C21A	IPM2C24A		
825	1.3804e+07	12.4787	11.9871	
824	1.3804e+07	12.7634	12.1751	
825	1.3804e+07	12.5931	12.1751	
815	1.3804e+07	12.6724	12.1751	
828	1.3804e+07	12.6724	12.059	
812	1.3804e+07	12.6724	12.2429	
824	1.3804e+07	12.5996	12.058	
812	1.3804e+07	12.5996	12.1381	
808	1.3804e+07	12.5307	12.0334	
815	1.3804e+07	12.415	11.9173	
835	1.3804e+07	12.6802	11.9871	
825	1.3804e+07	12.8622	12.3466	
829	1.3804e+07	12.6425	12.2614	
829	1.3804e+07	12.7933	12.1309	
821	1.3804e+07	12.7933	12.2614	
809	1.3804e+07	12.6035	12.21	
817	1.3804e+07	12.3643	11.9707	
835	1.3804e+07	12.6646	11.8968	
822	1.3804e+07	12.935	12.3641	
820	1.3804e+07	12.6399	12.3641	
830	1.3804e+07	12.5788	12.0416	
835	1.3804e+07	12.7946	12.1854	
824	1.3804e+07	12.7946	12.2798	
813	1.3804e+07	12.7218	12.2798	
810	1.3804e+07	12.6438	12.1936	
823	1.3804e+07	12.4527	11.9471	
823	1.3804e+07	12.6763	12.0991	
817	1.3804e+07	12.6048	12.0991	
824	1.3804e+07	12.4969	12.0025	
818	1.3804e+07	12.7725	12.2131	
827	1.3804e+07	12.6074	12.1114	
814	1.3804e+07	12.6854	12.2121	
822	1.3804e+07	12.5424	11.9861	
816	1.3804e+07	12.4891	12.0775	
819	1.3804e+07	12.6698	12.0775	
815	1.3804e+07	12.506	12.0775	
811	1.3804e+07	12.6334	12.0775	
809	1.3804e+07	12.3825	12.021	
828	1.3804e+07	12.5671	11.9111	
835	1.3804e+07	12.8128	12.1576	
832	1.3804e+07	12.7556	12.2798	
813	1.3804e+07	12.7556	12.2798	
831	1.3804e+07	12.4267	12.0221	
829	1.3804e+07	12.7608	12.1381	
817	1.3804e+07	12.6451	12.1381	
835	1.3804e+07	12.5684	11.9748	
830	1.3804e+07	12.792	12.323	
826	1.3804e+07	12.7205	12.1761	
831	1.3804e+07	12.6633	12.1761	
825	1.3804e+07	12.7595	12.1761	
822	1.3804e+07	12.6477	12.2316	
