scalerS16b	IPM2C21A	IPM2C24A		
84	1.38015e+07	0	0	
82	1.38015e+07	0	0	
82	1.38015e+07	0	0	
82	1.38015e+07	0	0	
80	1.38015e+07	0	0	
79	1.38015e+07	0	0	
85	1.38015e+07	0	0	
82	1.38015e+07	0	0	
87	1.38015e+07	0	0	
84	1.38015e+07	0	0	
84	1.38015e+07	0	0	
7120	1.38015e+07	0	0	
12029	1.38015e+07	1.95	0.6162	
11934	1.38015e+07	3.9	1.5405	
87	1.38015e+07	7.8	3.081	
85	1.38015e+07	0	3.25374	
83	1.38015e+07	0	0	
82	1.38015e+07	0	0	
80	1.38015e+07	0	0	
83	1.38015e+07	0	0	
88	1.38015e+07	0	0	
88	1.38015e+07	0	0	
86	1.38015e+07	0	0	
83	1.38015e+07	0	0	
88	1.38015e+07	0	0	
84	1.38015e+07	0	0	
81	1.38015e+07	0	0	
87	1.38015e+07	0	0	
84	1.38015e+07	0	0	
89	1.38015e+07	0	0	
87	1.38015e+07	0	0	
88	1.38015e+07	0	0	
89	1.38015e+07	0	0	
88	1.38015e+07	0	0	
87	1.38015e+07	0	0	
91	1.35984e+07	0	0	
447	1.38112e+07	0	0	
11984	1.38112e+07	0	0	
11922	1.38112e+07	0.78	0	
11879	1.38112e+07	1.95	1.5405	
11871	1.38112e+07	3.9	3.081	
11871	1.38112e+07	7.8	6.162	
11821	1.38112e+07	18.5471	15.405	
12037	1.38112e+07	20.9722	19.4935	
12026	1.38112e+07	21.5046	20.0409	
12074	1.32596e+07	13.8593	13.1025	
15473	1.38187e+07	13.9412	13.2082	
17285	1.38187e+07	19.2153	15.4553	
17355	1.38187e+07	19.7795	19.018	
30269	1.38187e+07	20.1513	18.8752	
38059	1.38187e+07	38.675	25.2601	
39181	1.38187e+07	66.0595	62.5546	
38898	1.38187e+07	45.1945	66.9758	
38448	1.38187e+07	44.928	43.4832	
44630	1.38187e+07	44.4632	42.8413	
45891	1.38187e+07	51.402	44.9107	
46565	1.38187e+07	53.0855	51.5503	
45689	1.38187e+07	53.7583	51.3243	
45008	1.38187e+07	52.9685	51.4732	
45486	1.38187e+07	51.8213	49.8352	
45492	1.38187e+07	52.702	50.8878	
45798	1.38187e+07	52.4452	50.2049	
45403	1.38187e+07	52.7248	50.5746	
45708	1.38187e+07	52.7248	50.7338	
44922	1.38187e+07	52.7248	50.6054	
45061	1.38187e+07	52.1007	50.477	
45872	1.38187e+07	52.1007	49.9841	
45464	1.38187e+07	52.2925	50.0354	
44911	1.38187e+07	52.91	51.0008	
45382	1.38187e+07	52.0877	50.3538	
45830	1.38187e+07	52.0877	49.9995	
45609	1.38187e+07	52.9977	50.3333	
45609	1.38187e+07	52.4972	50.9751	
45414	1.38187e+07	52.611	50.667	
45059	1.38187e+07	52.3607	50.4925	
45224	1.38187e+07	52.1917	49.9327	
45200	1.38187e+07	52.1917	50.2049	
45092	1.38187e+07	52.0293	50.3179	
44635	1.38187e+07	52.0293	49.7838	
44928	1.38187e+07	51.7595	49.6811	
45452	1.38187e+07	51.7595	50.0457	
45905	1.38187e+07	52.8027	49.9481	
46807	1.38187e+07	53.1115	51.1189	
44850	1.38187e+07	53.911	51.7043	
44409	1.38187e+07	51.688	50.9033	
44603	1.38187e+07	51.22	48.9725	
44642	1.38187e+07	51.5255	49.5579	
45289	1.38187e+07	51.753	49.5579	
45180	1.38187e+07	52.247	49.9173	
44401	1.38187e+07	52.1592	50.3898	
44115	1.38187e+07	51.2362	49.4552	
44432	1.38187e+07	50.9437	49.2087	
44688	1.38187e+07	51.5385	49.6041	
45065	1.38187e+07	51.3208	49.0187	
44788	1.38187e+07	51.9123	49.7273	
45103	1.38187e+07	51.7595	50.02	
45068	1.38187e+07	51.9837	49.7633	
44512	1.38187e+07	52.208	50.1638	
41546	1.39519e+07	51.7173	50.02	
41200	1.3813e+07	49.465	49.2601	
41407	1.3813e+07	47.5052	45.8966	
41224	1.3813e+07	47.84	45.722	
41094	1.3813e+07	47.84	45.9993	
41094	1.3813e+07	47.5475	45.7785	
38949	1.3813e+07	46.2995	45.6245	
39245	1.3813e+07	44.876	43.2264	
39456	1.3813e+07	45.4967	43.4986	
39858	1.3813e+07	45.851	43.8221	
39949	1.3813e+07	46.007	44.2329	
37408	1.3813e+07	45.37	44.3921	
37847	1.3813e+07	43.0658	41.9581	
37536	1.3813e+07	43.914	41.6448	
37328	1.3813e+07	43.1015	42.1327	
36947	1.3813e+07	42.991	41.3265	
36732	1.32598e+07	42.6465	41.0184	
37530	1.38532e+07	42.5457	40.9259	
37999	1.38532e+07	43.1763	41.1724	
36749	1.38532e+07	43.8848	41.9273	
36159	1.38532e+07	42.5457	41.6192	
37133	1.38532e+07	41.8242	40.5562	
37136	1.38532e+07	42.6855	40.3457	
36907	1.38532e+07	42.978	41.4549	
36976	1.38532e+07	42.4775	40.9362	
36571	1.38532e+07	42.8447	41.0543	
36821	1.38532e+07	42.341	40.9773	
36888	1.38532e+07	42.341	40.5562	
36698	1.38532e+07	42.5425	40.8643	
36251	1.38532e+07	42.5425	41.0646	
36034	1.38532e+07	42.2533	40.6333	
36308	1.38532e+07	41.3042	40.0119	
36572	1.38532e+07	42.107	40.1454	
36816	1.38532e+07	41.847	40.2481	
36492	1.38532e+07	42.3865	40.5614	
36133	1.36051e+07	42.3865	40.8797	
36133	1.36051e+07	42.094	40.5151	
36477	1.38165e+07	41.6	40.0992	
36820	1.38165e+07	42.3085	40.4689	
36550	1.33402e+07	42.6497	40.7822	
36173	1.38243e+07	41.8633	40.7822	
36167	1.38243e+07	41.5643	40.1198	
36866	1.38243e+07	42.276	40.0633	
36700	1.38243e+07	42.3573	40.9619	
36282	1.38243e+07	42.3573	40.5665	
36672	1.38243e+07	41.9087	40.6281	
36563	1.38243e+07	42.3638	40.4997	
36975	1.38243e+07	42.2175	40.7205	
36401	1.38243e+07	42.5913	40.7205	
35488	1.38243e+07	42.1005	40.813	
29693	1.38243e+07	40.6835	40.1454	
29475	1.38243e+07	34.4792	35.5342	
29732	1.38243e+07	33.995	32.8845	
29409	1.38243e+07	34.2777	32.7202	
29503	1.35249e+07	34.0308	32.9051	
28314	1.38114e+07	33.9755	32.6021	
28214	1.38114e+07	32.8413	32.3094	
28244	1.38114e+07	32.4707	31.2157	
28551	1.38114e+07	32.5617	31.2876	
28624	1.38114e+07	32.8705	31.4313	
27540	1.38114e+07	33.0135	31.6008	
27824	1.38114e+07	32.0417	31.5494	
27580	1.38114e+07	32.0417	30.6457	
27947	1.38114e+07	31.876	30.7432	
27316	1.38114e+07	32.0775	30.6097	
27309	1.38114e+07	31.8305	30.9538	
27111	1.38114e+07	31.4275	30.3324	
27111	1.38114e+07	31.4275	30.2554	
27142	1.38114e+07	31.4275	30.127	
26946	1.38114e+07	30.8522	30.0295	
27421	1.38114e+07	31.3918	29.8395	
27119	1.38114e+07	31.4795	30.2606	
27513	1.38114e+07	31.4242	30.1065	
27587	1.38114e+07	31.6388	30.4865	
27645	1.38114e+07	31.9702	30.4146	
27693	1.38114e+07	31.8142	30.7484	
26852	1.38114e+07	31.72	30.7484	
27110	1.38114e+07	30.979	29.9679	
27193	1.38114e+07	31.252	29.8549	
27062	1.38114e+07	31.4145	30.1579	
27240	1.38114e+07	31.1838	30.0449	
27313	1.38114e+07	31.395	30.1322	
27237	1.38114e+07	31.512	30.3016	
27513	1.38114e+07	31.3983	30.3016	
26780	1.38114e+07	31.6485	30.1476	
26631	1.38114e+07	31.0408	30.3324	
26605	1.38114e+07	30.6735	29.5571	
26971	1.38114e+07	30.5858	29.3619	
27131	1.38114e+07	31.0375	29.6392	
26700	1.38114e+07	31.2682	30.0192	
26737	1.39392e+07	30.8263	29.8189	
26782	1.38077e+07	30.8263	29.6238	
26797	1.38077e+07	30.9562	29.7419	
26688	1.38077e+07	30.8717	29.7419	
24325	1.38077e+07	30.654	29.6341	
20631	1.38077e+07	30.3452	29.5006	
21011	1.38077e+07	24.7065	26.6763	
20684	1.38077e+07	23.9492	22.8662	
20684	1.38077e+07	24.076	23.2359	
20796	1.38077e+07	23.7803	22.8353	
20637	1.38077e+07	24.1182	23.0202	
19925	1.38077e+07	23.2115	23.0202	
19611	1.38077e+07	22.7435	22.0805	
19559	1.38077e+07	22.5972	21.6954	
19889	1.38077e+07	22.5972	21.6954	
19513	1.38077e+07	22.8767	21.911	
18809	1.38077e+07	22.1292	21.8392	
19000	1.38077e+07	21.7295	20.8173	
18859	1.38077e+07	21.7295	21.0073	
19268	1.38077e+07	21.801	20.7659	
18941	1.38077e+07	22.152	21.3154	
18448	1.38077e+07	21.684	21.2281	
18171	1.38077e+07	21.1672	20.386	
18414	1.38077e+07	20.93	14.206	
18202	1.38077e+07	21.164	19.6979	
18248	1.38077e+07	20.93	19.6979	
18534	1.38077e+07	20.93	19.6106	
18647	1.38077e+07	21.1933	19.6106	
18398	1.38077e+07	21.4662	20.101	
18250	1.38077e+07	21.2257	19.97	
18364	1.38077e+07	20.995	19.7518	
18657	1.38077e+07	20.995	19.5644	
18679	1.38077e+07	21.528	20.0522	
18874	1.38077e+07	21.333	19.9726	
19028	1.38077e+07	21.7165	20.2422	
19015	1.38077e+07	21.8368	20.3474	
18944	1.38077e+07	21.7717	20.4501	
18515	1.38077e+07	21.7717	20.5451	
18438	1.38077e+07	21.5833	20.3937	
18438	1.38077e+07	21.2778	19.9135	
18797	1.38077e+07	21.3948	19.9135	
18692	1.39375e+07	21.4825	20.2473	
18750	1.38194e+07	21.5637	20.0856	
18563	1.38194e+07	21.463	20.237	
18556	1.38194e+07	21.463	20.0522	
18656	1.38194e+07	21.2875	20.0522	
18552	1.38194e+07	21.4338	20.1728	
18426	1.38194e+07	21.2875	19.9597	
18633	1.38194e+07	21.2225	19.8724	
18935	1.38194e+07	21.4305	20.0368	
18407	1.38194e+07	21.723	20.2653	
18700	1.38194e+07	21.1868	20.0804	
18828	1.38194e+07	21.5345	19.9392	
18817	1.38194e+07	21.6418	20.2704	
18721	1.38194e+07	21.6418	20.3834	
18852	1.38194e+07	21.541	20.3012	
18827	1.38194e+07	21.6385	20.1754	
18481	1.38194e+07	21.5637	20.1754	
18535	1.38194e+07	21.3428	20.2576	
18639	1.38194e+07	21.2843	19.9212	
18946	1.38194e+07	21.3525	19.9212	
19012	1.38194e+07	21.7587	20.2139	
18880	1.38194e+07	21.8465	20.4809	
14484	1.38194e+07	21.7913	20.4809	
11683	1.38194e+07	19.396	20.2781	
11571	1.38194e+07	13.3282	14.1418	
11636	1.38194e+07	13.3282	12.5628	
11447	1.38194e+07	13.2697	12.3985	
11381	1.38194e+07	13.1755	12.478	
11304	1.38194e+07	13.1137	12.2958	
11304	1.38194e+07	12.8733	12.2033	
11647	1.38194e+07	9.8683	12.1237	
11474	1.38194e+07	13.2327	12.4729	
11429	1.38194e+07	13.0559	12.3522	
11557	1.38194e+07	13.1404	12.2547	
11429	1.38194e+07	13.1404	12.3856	
11578	1.38194e+07	13.1404	12.2598	
11572	1.38194e+07	13.2015	12.4652	
11657	1.38194e+07	13.2938	12.3574	
11443	1.38194e+07	13.3588	12.5499	
11513	1.38194e+07	13.0442	12.4601	
11644	1.38194e+07	13.1612	12.247	
11532	1.38194e+07	13.3081	12.4421	
11541	1.38194e+07	13.2158	12.4421	
11514	1.38194e+07	13.2158	12.4421	
11585	1.38194e+07	13.2158	12.3831	
11585	1.38194e+07	13.2158	12.4395	
11589	1.38194e+07	13.2158	12.3728	
11566	1.38194e+07	13.2821	12.514	
11521	1.38194e+07	13.2821	12.4318	
11464	1.38194e+07	13.2054	12.4318	
11457	1.38194e+07	13.0806	12.2855	
11642	1.38194e+07	13.1599	12.3497	
11661	1.38194e+07	13.2223	12.3497	
11698	1.38194e+07	13.3601	12.5268	
11428	1.38194e+07	13.3601	12.5268	
11614	1.38194e+07	13.1807	12.5268	
11641	1.38194e+07	13.1807	12.3035	
11535	1.38194e+07	13.3887	12.478	
11548	1.38194e+07	13.2717	12.478	
11437	1.38194e+07	13.1482	12.3702	
11437	1.38194e+07	13.2275	12.3702	
11465	1.38194e+07	13.0273	12.3137	
